city,state,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,Composite_AQI,Dominant_Pollutant,AQI_Category
Chennai,TamilNadu,1.4,0.7142857142857143,12.714285714285714,17.666666666666668,49.0,47.42857142857143,9.571428571428571,49.0,PM10,Good
Bhilai,Chhattisgarh,1.0,0.6666666666666666,25.333333333333332,21.0,42.666666666666664,48.666666666666664,18.333333333333332,48.7,PM2.5,Good
Silchar,Assam,1.0,0.0,41.0,3.0,47.0,40.0,8.0,47.0,PM10,Good
Puducherry,Puducherry,1.0,1.0,14.0,46.0,21.0,23.0,9.0,46.0,OZONE,Good
Madikeri,Karnataka,1.0,,,3.0,22.0,42.0,9.0,42.0,PM2.5,Good
Shillong,Meghalaya,0.5,,41.0,34.0,,38.0,27.0,41.0,NO2,Good
Kohima,Nagaland,0.0,0.0,5.0,9.0,,,40.0,40.0,SO2,Good
Koppal,Karnataka,,2.0,38.0,,36.0,,,38.0,NO2,Good
Ankleshwar,Gujarat,2.0,2.0,36.0,33.0,,,32.0,36.0,NO2,Good
Kollam,Kerala,1.0,,,36.0,,,,36.0,OZONE,Good
Rajamahendravaram,Andhra_Pradesh,1.0,0.0,11.0,21.0,36.0,27.0,8.0,36.0,PM10,Good
Rupnagar,Punjab,2.0,,32.0,,22.0,28.0,18.0,32.0,NO2,Good
Chikkamagaluru,Karnataka,1.0,0.0,26.0,29.0,,,,29.0,OZONE,Good
Ambala,Haryana,2.0,2.0,12.0,21.0,10.0,15.0,28.0,28.0,SO2,Good
Ramanathapuram,TamilNadu,,,,4.0,22.0,,12.0,22.0,PM10,Good
Manguraha,Bihar,2.0,0.0,6.0,10.0,,,21.0,21.0,SO2,Good
Bileipada,Odisha,2.0,,,18.0,,,,18.0,OZONE,Good
Katihar,Bihar,4.0,,,17.0,,,,17.0,OZONE,Good
Kashipur,Uttarakhand,1.0,0.0,10.0,,,,,10.0,NO2,Good
Samastipur,Bihar,0.0,,,8.0,,,,8.0,OZONE,Good
Maihar,Madhya Pradesh,4.0,,,,,,,4.0,CO,Good
Madurai,TamilNadu,1.0,,,,,,,1.0,CO,Good
Byrnihat,Meghalaya,1.0,,,,,,,1.0,CO,Good
