state,city,Avg_PM25,Max_PM25,Min_PM25,Avg_AQI,Peak_AQI,Stations,AQI_Category
Madhya Pradesh,Katni,68,68,68,127,127,1,Poor
Madhya Pradesh,Mandideep,76,76,76,153,153,1,Poor
Madhya Pradesh,Singrauli,72,72,72,140,140,1,Poor
Madhya Pradesh,Ujjain,70,70,70,133,133,1,Poor
Madhya Pradesh,Bhopal,54.7,63,46,93,110,3,Moderate
Madhya Pradesh,Dewas,59,59,59,98,98,1,Moderate
Madhya Pradesh,Indore,54.8,84,43,99.4,180,5,Moderate
Madhya Pradesh,Jabalpur,49.8,54,46,83,90,4,Moderate
Madhya Pradesh,Pithampur,57,57,57,95,95,1,Moderate
Madhya Pradesh,Ratlam,46,46,46,77,77,1,Moderate
Madhya Pradesh,Sagar,54,54,54,90,90,1,Moderate
Madhya Pradesh,Satna,50,50,50,83,83,1,Moderate
Maharashtra,Kalyan,152,152,152,325,325,1,Severe
Maharashtra,Chandrapur,104,104,104,247,247,1,Very Poor
Maharashtra,Parbhani,91,91,91,203,203,1,Very Poor
Maharashtra,Akola,80,80,80,167,167,1,Poor
Maharashtra,Aurangabad,73,85,61,143,183,2,Poor
Maharashtra,Bhiwandi,68,68,68,127,127,1,Poor
Maharashtra,Dhule,79,79,79,163,163,1,Poor
Maharashtra,Jalgaon,65,65,65,117,117,1,Poor
Maharashtra,Latur,64,64,64,113,113,1,Poor
Maharashtra,Mahad,61,61,61,103,103,1,Poor
Maharashtra,Malegaon,81,81,81,170,170,1,Poor
Maharashtra,Mumbai,59,183,21,106.4,348,23,Poor
Maharashtra,Nagpur,84,114,69,180,280,3,Poor
Maharashtra,Nanded,76,76,76,153,153,1,Poor
Maharashtra,Nashik,60.5,77,44,110.5,157,4,Poor
Maharashtra,Navi Mumbai,74,103,58,147.6,243,5,Poor
Maharashtra,Pimpri-Chinchwad,68.3,107,47,134.6,257,7,Poor
Maharashtra,Pune,57.2,81,43,104,170,5,Poor
Maharashtra,Solapur,72.5,86,59,142.5,187,2,Poor
Maharashtra,Ambernath,52,52,52,87,87,1,Moderate
Maharashtra,Amravati,47.5,52,43,79.5,87,2,Moderate
Maharashtra,Badlapur,53,53,53,88,88,1,Moderate
Maharashtra,Boisar,49,49,49,82,82,1,Moderate
Maharashtra,Dombivli,35,35,35,58,58,1,Moderate
Maharashtra,Jalna,58,58,58,97,97,1,Moderate
Maharashtra,Kolhapur,51,51,51,85,85,1,Moderate
Maharashtra,Mira-Bhayandar,56,56,56,93,93,1,Moderate
Maharashtra,Sangli,47,47,47,78,78,1,Moderate
Maharashtra,Satara,48,48,48,80,80,1,Moderate
Maharashtra,Thane,55,55,55,92,92,1,Moderate
Maharashtra,Ulhasnagar,46,69,23,84,130,2,Moderate
Maharashtra,Virar,44,44,44,73,73,1,Moderate
Maharashtra,Hingoli,23,23,23,38,38,1,Good
Meghalaya,Shillong,23,23,23,38,38,1,Good
Mizoram,Aizawl,18,18,18,30,30,1,Good
Odisha,Suakati,174,174,174,342,342,1,Severe
Odisha,Barbil,96,96,96,220,220,1,Very Poor
Odisha,Angul,70,70,70,133,133,1,Poor
Odisha,Baripada,65,65,65,117,117,1,Poor
Odisha,Nayagarh,73,73,73,143,143,1,Poor
Odisha,Rourkela,72.7,86,55,145.3,187,3,Poor
Odisha,Talcher,76,76,76,153,153,1,Poor
Odisha,Balasore,44,44,44,73,73,1,Moderate
Odisha,Bhubaneswar,40.5,43,38,67.5,72,2,Moderate
Odisha,Brajrajnagar,49,49,49,82,82,1,Moderate
Odisha,Byasanagar,47,47,47,78,78,1,Moderate
Odisha,Cuttack,33,33,33,55,55,1,Moderate
Odisha,Keonjhar,53,53,53,88,88,1,Moderate
Odisha,Rairangpur,42,42,42,70,70,1,Moderate
Odisha,Tensa,46,46,46,77,77,1,Moderate
Puducherry,Puducherry,14,14,14,23,23,1,Good
Punjab,Mandi Gobindgarh,184,184,184,349,349,1,Severe
Punjab,Ludhiana,86,86,86,187,187,1,Poor
Punjab,Amritsar,59,59,59,98,98,1,Moderate
Punjab,Bathinda,57,57,57,95,95,1,Moderate
Punjab,Jalandhar,58,58,58,97,97,1,Moderate
Punjab,Khanna,50,50,50,83,83,1,Moderate
Punjab,Patiala,54,54,54,90,90,1,Moderate
Punjab,Rupnagar,17,17,17,28,28,1,Good
Rajasthan,Hanumangarh,125,125,125,304,304,1,Severe
Rajasthan,Baran,104,104,104,247,247,1,Very Poor
Rajasthan,Bhiwadi,111.5,168,55,214.5,337,2,Very Poor
Rajasthan,Jaipur,99.3,134,61,225.2,311,6,Very Poor
Rajasthan,Udaipur,96,96,96,220,220,1,Very Poor
Rajasthan,Ajmer,63,63,63,110,110,1,Poor
Rajasthan,Alwar,61,61,61,103,103,1,Poor
Rajasthan,Churu,66,66,66,120,120,1,Poor
Rajasthan,Karauli,63,63,63,110,110,1,Poor
Rajasthan,Kota,69.3,130,34,146,308,3,Poor
Rajasthan,Pali,83,83,83,177,177,1,Poor
Rajasthan,Sri Ganganagar,67,67,67,123,123,1,Poor
Rajasthan,Tonk,61,61,61,103,103,1,Poor
Rajasthan,Banswara,49,49,49,82,82,1,Moderate
Rajasthan,Bhilwara,33,33,33,55,55,1,Moderate
Rajasthan,Bundi,37,37,37,62,62,1,Moderate
Rajasthan,Chittorgarh,40,40,40,67,67,1,Moderate
Rajasthan,Dausa,56,56,56,93,93,1,Moderate
Rajasthan,Dungarpur,34,34,34,57,57,1,Moderate
Rajasthan,Jhalawar,45,45,45,75,75,1,Moderate
Rajasthan,Jhunjhunu,58,58,58,97,97,1,Moderate
Rajasthan,Jodhpur,38.8,62,31,65.4,107,5,Moderate
Rajasthan,Nagaur,42,42,42,70,70,1,Moderate
Rajasthan,Pratapgarh,44,44,44,73,73,1,Moderate
Rajasthan,Sawai Madhopur,37,37,37,62,62,1,Moderate
Rajasthan,Sikar,47,47,47,78,78,1,Moderate
Rajasthan,Barmer,26,26,26,43,43,1,Good
Rajasthan,Bharatpur,30,30,30,50,50,1,Good
Rajasthan,Jalore,29,29,29,48,48,1,Good
Rajasthan,Rajsamand,17,17,17,28,28,1,Good
Rajasthan,Sirohi,28,28,28,47,47,1,Good
Sikkim,Gangtok,50,50,50,83,83,1,Moderate
TamilNadu,Gummidipoondi,87,87,87,190,190,1,Poor
TamilNadu,Coimbatore,51,51,51,85,85,1,Moderate
TamilNadu,Ooty,52,52,52,87,87,1,Moderate
TamilNadu,Perundurai,40,40,40,67,67,1,Moderate
TamilNadu,Chennai,28.4,59,16,47.4,98,7,Good
Telangana,Hyderabad,53.4,72,19,94.5,140,12,Moderate
Tripura,Agartala,64,64,64,113,113,1,Poor
Uttar_Pradesh,Khora,341,341,341,470,470,1,Hazardous
Uttar_Pradesh,Baghpat,128,128,128,306,306,1,Severe
Uttar_Pradesh,Ghaziabad,171.5,282,99,328.5,425,6,Severe
Uttar_Pradesh,Hapur,125,125,125,304,304,1,Severe
Uttar_Pradesh,Modinagar,227,227,227,382,382,1,Severe
Uttar_Pradesh,Gorakhpur,109,109,109,263,263,1,Very Poor
Uttar_Pradesh,Lucknow,112.5,166,59,240.2,335,6,Very Poor
Uttar_Pradesh,Meerut,141.2,316,58,245,451,4,Very Poor
Uttar_Pradesh,Muzaffarnagar,95,95,95,217,217,1,Very Poor
Uttar_Pradesh,Noida,98.5,111,85,228.2,270,4,Very Poor
Uttar_Pradesh,Agra,66.4,128,35,131.4,306,5,Poor
Uttar_Pradesh,Bulandshahr,77,77,77,157,157,1,Poor
Uttar_Pradesh,Firozabad,75,93,57,152.5,210,2,Poor
Uttar_Pradesh,Greater Noida,87.5,107,68,192,257,2,Poor
Uttar_Pradesh,Kanpur,65.7,77,59,119.3,157,3,Poor
Uttar_Pradesh,Khurja,85,85,85,183,183,1,Poor
Uttar_Pradesh,Varanasi,73,91,44,152,203,3,Poor
Uttar_Pradesh,Bareilly,40.5,53,28,67.5,88,2,Moderate
Uttar_Pradesh,Moradabad,53,87,36,97.3,190,6,Moderate
Uttar_Pradesh,Prayagraj,39,47,33,65,78,3,Moderate
Uttar_Pradesh,Vrindavan,45,45,45,75,75,1,Moderate
Uttar_Pradesh,Jhansi,28,28,28,47,47,1,Good
Uttarakhand,Dehradun,44,44,44,73,73,1,Moderate
Uttarakhand,Rishikesh,2,2,2,3,3,1,Good
West_Bengal,Asansol,56,111,34,114.8,270,4,Poor
West_Bengal,Durgapur,64,73,52,117.7,143,3,Poor
West_Bengal,Barrackpore,53,53,53,88,88,1,Moderate
West_Bengal,Haldia,53,53,53,88,88,1,Moderate
West_Bengal,Howrah,46.4,53,35,77.2,88,5,Moderate
West_Bengal,Kolkata,45.7,58,34,76.4,97,7,Moderate
West_Bengal,Siliguri,58,58,58,97,97,1,Moderate
