city,state,Composite_AQI,Dominant_Pollutant,PM25_AQI,AQI_Difference
Sikar,Rajasthan,132.0,PM10,78.0,54.0
Agra,Uttar_Pradesh,131.4,PM2.5,131.4,0.0
Guntur,Andhra_Pradesh,130.0,PM2.5,130.0,0.0
Tumidih,Chhattisgarh,127.0,PM2.5,127.0,0.0
Katni,Madhya Pradesh,127.0,PM2.5,127.0,0.0
Bhiwandi,Maharashtra,127.0,PM2.5,127.0,0.0
Bikaner,Rajasthan,124.0,OZONE,,
Rajkot,Gujarat,123.0,PM2.5,123.0,0.0
Sagar,Madhya Pradesh,122.0,OZONE,90.0,32.0
Ahmedabad,Gujarat,120.0,PM2.5,120.0,0.0
Tonk,Rajasthan,120.0,PM10,103.0,17.0
Kanpur,Uttar_Pradesh,119.3,PM2.5,119.3,0.0
Durgapur,West_Bengal,117.7,PM2.5,117.7,0.0
Jalgaon,Maharashtra,117.0,PM2.5,117.0,0.0
Baripada,Odisha,117.0,PM2.5,117.0,0.0
Dewas,Madhya Pradesh,116.0,NO2,98.0,18.0
Asansol,West_Bengal,114.8,PM2.5,114.8,0.0
Anantapur,Andhra_Pradesh,113.0,PM2.5,113.0,0.0
Siwan,Bihar,113.0,PM2.5,113.0,0.0
Visakhapatnam,Andhra_Pradesh,113.0,PM10,67.0,46.0
Nagaon,Assam,113.0,PM2.5,113.0,0.0
Latur,Maharashtra,113.0,PM2.5,113.0,0.0
Agartala,Tripura,113.0,PM2.5,113.0,0.0
Vijayawada,Andhra_Pradesh,112.5,PM2.5,112.5,0.0
Thane,Maharashtra,112.0,PM10,92.0,20.0
Jaisalmer,Rajasthan,112.0,PM10,,
Sirsa,Haryana,112.0,OZONE,65.0,47.0
Jhunjhunu,Rajasthan,111.0,PM10,97.0,14.0
Gandhinagar,Gujarat,110.7,PM10,103.0,7.7
Nashik,Maharashtra,110.5,PM2.5,110.5,0.0
Mysuru,Karnataka,110.0,OZONE,48.0,62.0
Karauli,Rajasthan,110.0,PM2.5,110.0,0.0
Ahmednagar,Maharashtra,110.0,OZONE,,
Ajmer,Rajasthan,110.0,PM2.5,110.0,0.0
Nagaur,Rajasthan,109.0,PM10,70.0,39.0
Pithampur,Madhya Pradesh,107.0,PM10,95.0,12.0
Dausa,Rajasthan,107.0,OZONE,93.0,14.0
Ramanagara,Karnataka,107.0,PM2.5,107.0,0.0
Mumbai,Maharashtra,106.4,PM2.5,106.4,0.0
Bhilwara,Rajasthan,106.0,PM10,55.0,51.0
Bundi,Rajasthan,106.0,OZONE,62.0,44.0
Patiala,Punjab,105.0,PM10,90.0,15.0
Pune,Maharashtra,104.0,PM2.5,104.0,0.0
Pratapgarh,Rajasthan,104.0,PM10,73.0,31.0
Alwar,Rajasthan,103.0,PM10,103.0,0.0
Damoh,Madhya Pradesh,103.0,PM2.5,103.0,0.0
Chikkaballapur,Karnataka,103.0,PM2.5,103.0,0.0
Rajgir,Bihar,103.0,PM2.5,103.0,0.0
Jorapokhar,Jharkhand,103.0,PM10,95.0,8.0
Mahad,Maharashtra,103.0,PM2.5,103.0,0.0
Surat,Gujarat,102.5,PM2.5,102.5,0.0
Kunjemura,Chhattisgarh,102.0,PM10,80.0,22.0
Buxar,Bihar,100.0,PM2.5,100.0,0.0
Vrindavan,Uttar_Pradesh,100.0,PM10,75.0,25.0
Indore,Madhya Pradesh,99.4,PM2.5,99.4,0.0
Sasaram,Bihar,99.0,PM10,60.0,39.0
Jhalawar,Rajasthan,99.0,OZONE,75.0,24.0
Chittorgarh,Rajasthan,99.0,OZONE,67.0,32.0
Moradabad,Uttar_Pradesh,98.5,PM10,97.3,1.2
Dholpur,Rajasthan,98.0,PM10,,
Bengaluru,Karnataka,97.8,PM2.5,97.8,0.0
Jalna,Maharashtra,97.0,PM2.5,97.0,0.0
Siliguri,West_Bengal,97.0,PM2.5,97.0,0.0
Eluru,Andhra_Pradesh,97.0,PM2.5,97.0,0.0
Yadgir,Karnataka,97.0,PM2.5,97.0,0.0
Jalandhar,Punjab,97.0,PM2.5,97.0,0.0
Bihar Sharif,Bihar,95.0,PM2.5,95.0,0.0
Araria,Bihar,95.0,PM10,82.0,13.0
Hyderabad,Telangana,94.5,PM2.5,94.5,0.0
Bhopal,Madhya Pradesh,94.0,PM10,93.0,1.0
Banswara,Rajasthan,94.0,PM10,82.0,12.0
Mira-Bhayandar,Maharashtra,93.0,PM2.5,93.0,0.0
Chittoor,Andhra_Pradesh,93.0,PM2.5,93.0,0.0
Jodhpur,Rajasthan,91.8,PM10,65.4,26.4
Badlapur,Maharashtra,90.0,PM10,88.0,2.0
Cuttack,Odisha,90.0,PM10,55.0,35.0
Kadapa,Andhra_Pradesh,90.0,PM2.5,90.0,0.0
Kishanganj,Bihar,88.0,PM2.5,88.0,0.0
Haldia,West_Bengal,88.0,PM2.5,88.0,0.0
Keonjhar,Odisha,88.0,PM2.5,88.0,0.0
Barrackpore,West_Bengal,88.0,PM2.5,88.0,0.0
Belgaum,Karnataka,88.0,PM2.5,88.0,0.0
Ambernath,Maharashtra,87.0,PM2.5,87.0,0.0
Ooty,TamilNadu,87.0,PM2.5,87.0,0.0
Ratlam,Madhya Pradesh,87.0,PM10,77.0,10.0
Barmer,Rajasthan,85.0,PM10,43.0,42.0
Kolhapur,Maharashtra,85.0,PM2.5,85.0,0.0
Coimbatore,TamilNadu,85.0,PM2.5,85.0,0.0
Belapur,Maharashtra,84.0,OZONE,,
Ulhasnagar,Maharashtra,84.0,PM2.5,84.0,0.0
Khanna,Punjab,83.0,PM2.5,83.0,0.0
Gangtok,Sikkim,83.0,PM2.5,83.0,0.0
Jabalpur,Madhya Pradesh,83.0,PM2.5,83.0,0.0
Satna,Madhya Pradesh,83.0,PM2.5,83.0,0.0
Brajrajnagar,Odisha,82.0,PM2.5,82.0,0.0
Boisar,Maharashtra,82.0,PM2.5,82.0,0.0
Tirumala,Andhra_Pradesh,82.0,PM2.5,82.0,0.0
Amravati,Maharashtra,79.5,PM2.5,79.5,0.0
Prayagraj,Uttar_Pradesh,78.7,PM10,65.0,13.7
Mandikhera,Haryana,78.0,PM2.5,78.0,0.0
Sangli,Maharashtra,78.0,PM2.5,78.0,0.0
Howrah,West_Bengal,77.2,PM2.5,77.2,0.0
Tensa,Odisha,77.0,PM2.5,77.0,0.0
Kolkata,West_Bengal,76.4,PM2.5,76.4,0.0
Raipur,Chhattisgarh,76.3,PM10,66.3,10.0
Mangalore,Karnataka,75.0,PM2.5,75.0,0.0
Dungarpur,Rajasthan,75.0,PM10,57.0,18.0
Chandigarh,Chandigarh,75.0,PM10,73.5,1.5
Bareilly,Uttar_Pradesh,74.5,PM10,67.5,7.0
Dehradun,Uttarakhand,73.0,PM2.5,73.0,0.0
Virar,Maharashtra,73.0,PM2.5,73.0,0.0
Rajsamand,Rajasthan,72.0,OZONE,28.0,44.0
Jalore,Rajasthan,71.0,OZONE,48.0,23.0
Korba,Chhattisgarh,70.5,PM10,36.5,34.0
Machilipatnam,Andhra_Pradesh,70.0,PM2.5,70.0,0.0
Rairangpur,Odisha,70.0,PM2.5,70.0,0.0
Sirohi,Rajasthan,69.0,OZONE,47.0,22.0
Bhubaneswar,Odisha,67.5,PM2.5,67.5,0.0
Perundurai,TamilNadu,67.0,PM2.5,67.0,0.0
Aizawl,Mizoram,67.0,PM10,30.0,37.0
Guwahati,Assam,66.0,PM2.5,66.0,0.0
Srinagar,Jammu_and_Kashmir,65.5,PM10,57.0,8.5
Hubballi,Karnataka,65.0,PM2.5,65.0,0.0
Thoothukudi,TamilNadu,64.0,PM10,,
Rishikesh,Uttarakhand,64.0,OZONE,3.0,61.0
Chamarajanagar,Karnataka,63.0,PM2.5,63.0,0.0
